request_freq,avg_tokens,longest_consec,var_score,user
2.0365306122448983,2.0,15,172.09523809523802, user-1003
2.57265306122449,4.0,9,140.97142857142853, user-1003
2.2685714285714282,2.0,15,149.2380952380952, user-1003
2.132122448979592,2.0,10,149.2380952380952, user-1003
2.1983673469387752,3.0,13,150.68571428571423, user-1003
1.7800204081632653,2.0,9,172.09523809523802, user-1003
2.6734285714285715,4.0,11,140.97142857142853, user-1003
2.4159183673469387,2.0,9,154.09523809523807, user-1003
2.3497755102040814,2.0,16,165.52380952380946, user-1003
2.454591836734694,4.0,9,140.97142857142853, user-1003
2.3214285714285716,2.0,9,149.2380952380952, user-1003
2.587510204081633,4.0,15,140.97142857142853, user-1003
1.4744897959183672,2.0,11,204.09523809523802, user-1003
2.179673469387755,2.0,15,159.52380952380946, user-1003
2.397265306122449,4.0,9,133.54285714285712, user-1003
1.9777551020408164,2.0,14,165.52380952380946, user-1003
1.806081632653061,2.0,14,172.09523809523802, user-1003
2.59734693877551,4.0,8,140.97142857142853, user-1003
3.2038775510204083,2.0,8,133.5238095238095, user-1003
2.706734693877551,4.0,7,130.68571428571425, user-1003
1.9753061224489796,2.0,11,179.23809523809516, user-1003
2.237755102040816,2.0,10,159.52380952380946, user-1003
2.18869387755102,4.0,10,145.54285714285712, user-1003
1.8405714285714287,2.0,17,172.09523809523802, user-1003
1.3981632653061224,2.0,27,223.52380952380946, user-1003
2.469816326530612,4.0,9,150.68571428571423, user-1003
2.4442857142857144,2.0,14,149.2380952380952, user-1003
2.153265306122449,2.0,9,172.09523809523802, user-1003
2.0914285714285716,4.0,9,156.39999999999992, user-1003
1.733469387755102,2.0,15,186.9523809523809, user-1003
2.4720816326530612,2.0,9,149.2380952380952, user-1003
1.8557142857142859,4.0,12,156.39999999999992, user-1003
2.2169795918367345,2.0,13,172.09523809523802, user-1003
2.2937142857142856,2.0,14,165.52380952380946, user-1003
2.016795918367347,3.0,11,150.68571428571423, user-1003
1.6660408163265306,2.0,16,179.23809523809516, user-1003
