request_freq,avg_tokens,longest_consec,var_score,sequence_time,user
2.1076923076923078,1.0,11.0,0.0009174341121246394,82.2,user-1003
2.5938461538461537,1.0,9.0,0.0008068077859200284,101.16,user-1003
2.5323076923076924,1.0,13.0,0.000856398897666923,98.76,user-1003
2.361025641025641,1.0,10.0,0.0008106224868236356,92.08,user-1003
2.008974358974359,1.0,8.0,0.0008850091544439775,78.35,user-1003
2.2992820512820513,1.0,13.0,0.0008335106922452793,89.672,user-1003
1.8266666666666667,1.0,8.0,0.000993728130196785,71.24,user-1003
1.819820512820513,1.0,10.0,0.0008850091544439775,70.973,user-1003
2.688102564102564,1.0,6.0,0.0007839195804983847,104.836,user-1003
2.64974358974359,1.0,8.0,0.0008316033417934757,103.34,user-1003
2.0502564102564103,1.0,14.0,0.0009536737707089085,79.96,user-1003
3.5404871794871795,1.0,8.0,0.0007305137678478828,138.079,user-1003
1.418051282051282,1.0,12.0,0.000993728130196785,55.304,user-1003
2.526051282051282,1.0,9.0,0.0008316033417934757,98.516,user-1003
2.5660769230769227,1.0,13.0,0.0007839195804983847,100.077,user-1003
1.667948717948718,1.0,11.0,0.0010375971905882686,65.05,user-1003
1.4676923076923076,1.0,15.0,0.0010852809518833596,57.24,user-1003
3.0646153846153847,1.0,7.0,0.0007648460759803483,119.52,user-1003
2.2510256410256413,1.0,13.0,0.0008335106922452793,87.79,user-1003
1.8543589743589743,1.0,14.0,0.0009174341121246394,72.32,user-1003
1.966923076923077,1.0,8.0,0.0008850091544439775,76.71,user-1003
2.4075897435897438,1.0,11.0,0.000856398897666923,93.896,user-1003
2.774102564102564,1.0,7.0,0.0007648460759803483,108.19,user-1003
3.1746153846153846,1.0,9.0,0.0007934563327574029,123.81,user-1003
2.5503333333333336,1.0,7.0,0.0007495872723659192,99.463,user-1003
2.181179487179487,1.0,9.0,0.0009536737707089085,85.066,user-1003
1.7175897435897436,1.0,10.0,0.000993728130196785,66.986,user-1003
2.199,1.0,6.0,0.0008106224868236356,85.761,user-1003
2.4459743589743588,1.0,10.0,0.0008335106922452793,95.393,user-1003
1.6992820512820512,1.0,12.0,0.0009536737707089085,66.272,user-1003
1.0633333333333332,1.0,24.0,0.001251220441190276,41.47,user-1003
2.5669230769230773,1.0,8.0,0.0008850091544439775,100.11,user-1003
2.593717948717949,1.0,8.0,0.0008068077859200284,101.155,user-1003
2.5869230769230773,1.0,10.0,0.0008316033417934757,100.89,user-1003
1.812051282051282,1.0,14.0,0.000993728130196785,70.67,user-1003
2.2571794871794872,1.0,9.0,0.0008335106922452793,88.03,user-1003
1.4194871794871795,1.0,15.0,0.0011367794140820578,55.36,user-1003
2.574358974358974,1.0,11.0,0.0008106224868236356,100.4,user-1003
2.2642307692307693,1.0,9.0,0.0008850091544439775,88.305,user-1003
1.9292307692307693,1.0,11.0,0.0008640282994741375,75.24,user-1003
2.0723076923076924,1.0,13.0,0.000993728130196785,80.82,user-1003
2.5412820512820513,1.0,12.0,0.0008850091544439775,99.11,user-1003
2.005897435897436,1.0,10.0,0.0008850091544439775,78.23,user-1003
1.9422564102564102,1.0,8.0,0.000898360607606603,75.748,user-1003
1.8704102564102563,1.0,12.0,0.0009174341121246394,72.946,user-1003
3.003846153846154,1.0,9.0,0.0007801048795947774,117.15,user-1003
2.0092307692307694,1.0,10.0,0.0008640282994741375,78.36,user-1003
3.094358974358974,1.0,10.0,0.0007705681273357592,120.68,user-1003
2.50948717948718,1.0,8.0,0.0008850091544439775,97.87,user-1003
1.6564102564102563,1.0,16.0,0.0010242457374256431,64.6,user-1003
2.3417948717948716,1.0,15.0,0.000993728130196785,91.33,user-1003
2.5338205128205127,1.0,8.0,0.0008106224868236356,98.819,user-1003
1.406153846153846,1.0,17.0,0.0010852809518833596,54.84,user-1003
1.909051282051282,1.0,12.0,0.0007839195804983847,74.453,user-1003
2.223769230769231,1.0,12.0,0.0009174341121246394,86.727,user-1003
2.322025641025641,1.0,7.0,0.0008316033417934757,90.559,user-1003
2.227358974358974,1.0,12.0,0.0007839195804983847,86.867,user-1003
2.7577948717948715,1.0,8.0,0.0008316033417934757,107.554,user-1003
2.7056410256410257,1.0,12.0,0.000856398897666923,105.52,user-1003
1.9496153846153845,1.0,10.0,0.000898360607606603,76.035,user-1003
2.246128205128205,1.0,10.0,0.000856398897666923,87.599,user-1003
2.6775641025641024,1.0,9.0,0.0007934563327574029,104.425,user-1003
2.4756666666666667,1.0,9.0,0.0007305137678478828,96.551,user-1003
1.5216153846153846,1.0,10.0,0.0009536737707089085,59.343,user-1003
2.4356410256410257,1.0,11.0,0.0008850091544439775,94.99,user-1003
1.9907692307692306,1.0,13.0,0.0009536737707089085,77.64,user-1003
2.637102564102564,1.0,9.0,0.0007839195804983847,102.847,user-1003
3.251871794871795,1.0,7.0,0.0007648460759803483,126.823,user-1003
2.937282051282051,1.0,6.0,0.0007801048795947774,114.554,user-1003
1.7753333333333332,1.0,13.0,0.0009365076166426758,69.238,user-1003
2.1197435897435897,1.0,12.0,0.0009536737707089085,82.67,user-1003
2.23425641025641,1.0,13.0,0.000856398897666923,87.136,user-1003
1.7225641025641025,1.0,10.0,0.0009784693265823558,67.18,user-1003
1.8828205128205129,1.0,18.0,0.0009536737707089085,73.43,user-1003
2.455025641025641,1.0,9.0,0.0008850091544439775,95.746,user-1003
2.758974358974359,1.0,8.0,0.0007705681273357592,107.6,user-1003
1.8361538461538462,1.0,17.0,0.0008335106922452793,71.61,user-1003
1.1864102564102563,1.0,13.0,0.001251220441190276,46.27,user-1003
2.6966666666666663,1.0,9.0,0.000856398897666923,105.17,user-1003
1.8666153846153846,1.0,13.0,0.000993728130196785,72.798,user-1003
1.4767692307692306,1.0,12.0,0.0009365076166426758,57.594,user-1003
2.159615384615385,1.0,8.0,0.0008316033417934757,84.225,user-1003
2.0246153846153847,1.0,15.0,0.000993728130196785,78.96,user-1003
2.067641025641026,1.0,9.0,0.000856398897666923,80.638,user-1003
2.785820512820513,1.0,7.0,0.0007648460759803483,108.647,user-1003
2.1566666666666667,1.0,13.0,0.0009174341121246394,84.11,user-1003
2.1467692307692308,1.0,12.0,0.0009174341121246394,83.724,user-1003
3.048974358974359,1.0,6.0,0.0007305137678478828,118.91,user-1003
1.2136153846153845,1.0,20.0,0.001251220441190276,47.331,user-1003
1.8741025641025642,1.0,8.0,0.0008850091544439775,73.09,user-1003
2.5273846153846153,1.0,6.0,0.0008068077859200284,98.568,user-1003
1.5643589743589743,1.0,10.0,0.000993728130196785,61.01,user-1003
3.0564358974358976,1.0,7.0,0.0008106224868236356,119.201,user-1003
2.074102564102564,1.0,12.0,0.0009174341121246394,80.89,user-1003
1.7976923076923077,1.0,11.0,0.0009365076166426758,70.11,user-1003
1.9517179487179488,1.0,14.0,0.000993728130196785,76.117,user-1003
2.6037435897435897,1.0,10.0,0.0008106224868236356,101.546,user-1003
2.047051282051282,1.0,14.0,0.000898360607606603,79.835,user-1003
2.113384615384615,1.0,11.0,0.0009174341121246394,82.422,user-1003
2.0284615384615385,1.0,10.0,0.0008850091544439775,79.11,user-1003
1.8107692307692307,1.0,11.0,0.0009536737707089085,70.62,user-1003
2.6682051282051282,1.0,10.0,0.0007495872723659192,104.06,user-1003
1.9921538461538462,1.0,12.0,0.0009174341121246394,77.694,user-1003
1.3043589743589743,1.0,16.0,0.000993728130196785,50.87,user-1003
1.7969230769230768,1.0,13.0,0.0010375971905882686,70.08,user-1003
1.8517948717948718,1.0,12.0,0.0009784693265823558,72.22,user-1003
2.4699230769230773,1.0,14.0,0.0008316033417934757,96.327,user-1003
2.322179487179487,1.0,10.0,0.0009174341121246394,90.565,user-1003
2.8694871794871797,1.0,9.0,0.0007305137678478828,111.91,user-1003
1.8412820512820514,1.0,12.0,0.0010375971905882686,71.81,user-1003
1.741794871794872,1.0,11.0,0.000993728130196785,67.93,user-1003
2.0805128205128205,1.0,13.0,0.0009174341121246394,81.14,user-1003
2.924871794871795,1.0,10.0,0.0007381431696550974,114.07,user-1003
1.4637435897435898,1.0,14.0,0.0010852809518833596,57.086,user-1003
2.806153846153846,1.0,11.0,0.0008850091544439775,109.44,user-1003
2.312358974358974,1.0,8.0,0.0008068077859200284,90.182,user-1003
2.738102564102564,1.0,11.0,0.0008106224868236356,106.786,user-1003
1.248205128205128,1.0,13.0,0.0011367794140820578,48.68,user-1003
2.7717948717948717,1.0,9.0,0.0008106224868236356,108.1,user-1003
1.4702564102564102,1.0,16.0,0.0010738368491725377,57.34,user-1003
2.2856923076923077,1.0,14.0,0.000856398897666923,89.142,user-1003
1.9553333333333334,1.0,10.0,0.000856398897666923,76.258,user-1003
2.8604615384615384,1.0,9.0,0.0007305137678478828,111.558,user-1003
2.259230769230769,1.0,10.0,0.0008850091544439775,88.11,user-1003
2.0585641025641026,1.0,15.0,0.000993728130196785,80.284,user-1003
1.9953589743589744,1.0,10.0,0.0008850091544439775,77.819,user-1003
1.8667435897435898,1.0,10.0,0.0008640282994741375,72.803,user-1003
1.8014102564102563,1.0,11.0,0.0009536737707089085,70.255,user-1003
0.8662307692307692,1.0,15.0,0.0013141630060997962,33.783,user-1003
1.56,1.0,17.0,0.0010375971905882686,60.84,user-1003
2.364948717948718,1.0,8.0,0.0007839195804983847,92.233,user-1003
2.0135897435897436,1.0,8.0,0.0009536737707089085,78.53,user-1003
2.167692307692308,1.0,10.0,0.0008850091544439775,84.54,user-1003
2.3838461538461537,1.0,11.0,0.0009174341121246394,92.97,user-1003
2.2955384615384613,1.0,11.0,0.0008068077859200284,89.526,user-1003
1.8407179487179488,1.0,9.0,0.0009174341121246394,71.788,user-1003
2.0303589743589745,1.0,10.0,0.0008316033417934757,79.184,user-1003
2.4120512820512823,1.0,14.0,0.0007934563327574029,94.07,user-1003
2.2203333333333335,1.0,10.0,0.0008068077859200284,86.593,user-1003
2.1153846153846154,1.0,11.0,0.000856398897666923,82.5,user-1003
2.4817948717948717,1.0,13.0,0.0008850091544439775,96.79,user-1003
1.895,1.0,10.0,0.0008335106922452793,73.905,user-1003
2.0568461538461538,1.0,11.0,0.0009536737707089085,80.217,user-1003
2.491974358974359,1.0,8.0,0.0007801048795947774,97.187,user-1003
2.545384615384615,1.0,7.0,0.0007648460759803483,99.27,user-1003
1.8358974358974358,1.0,9.0,0.0009174341121246394,71.6,user-1003
2.1037435897435897,1.0,11.0,0.0008316033417934757,82.046,user-1003
3.4417948717948716,1.0,12.0,0.0007305137678478828,134.23,user-1003
2.9803076923076923,1.0,9.0,0.0007934563327574029,116.232,user-1003
3.0952307692307692,1.0,9.0,0.0007705681273357592,120.714,user-1003
1.9792820512820513,1.0,9.0,0.0009365076166426758,77.192,user-1003
2.0668205128205126,1.0,13.0,0.0009536737707089085,80.606,user-1003
2.036025641025641,1.0,13.0,0.000856398897666923,79.405,user-1003
1.603076923076923,1.0,13.0,0.000993728130196785,62.52,user-1003
1.7724102564102564,1.0,10.0,0.000898360607606603,69.124,user-1003
1.114871794871795,1.0,16.0,0.0011367794140820578,43.48,user-1003
1.8264615384615386,1.0,8.0,0.0009174341121246394,71.232,user-1003
2.6576923076923076,1.0,8.0,0.0008316033417934757,103.65,user-1003
2.390282051282051,1.0,9.0,0.0008068077859200284,93.221,user-1003
1.2802564102564102,1.0,12.0,0.0010375971905882686,49.93,user-1003
2.4551538461538462,1.0,12.0,0.0008850091544439775,95.751,user-1003
1.5735897435897437,1.0,14.0,0.000993728130196785,61.37,user-1003
2.3017948717948715,1.0,8.0,0.0008640282994741375,89.77,user-1003
1.8530256410256412,1.0,9.0,0.0009536737707089085,72.268,user-1003
